Date,Workout,Exercise,Set,Reps,Weight (lbs),Raw,Exercise_Normalized,Exercise_Canonical
2024-08-02,Legs 2,DB Step-up,1,10,35,,Db Step-up,
2024-08-02,Legs 2,DB Step-up,2,10,35,,Db Step-up,
2024-08-02,Legs 2,DB Step-up,3,10,35,,Db Step-up,
2024-08-02,Legs 2,Dumbbell Split Squat,1,8,20,,Dumbbell Split Squat,
2024-08-02,Legs 2,Dumbbell Split Squat,2,8,20,,Dumbbell Split Squat,
2024-08-02,Legs 2,Dumbbell Split Squat,3,8,20,,Dumbbell Split Squat,
2024-08-02,Legs 2,Leg extension,1,12,90,,Leg Extension,
2024-08-02,Legs 2,Leg extension,2,12,90,,Leg Extension,
2024-08-02,Legs 2,Leg extension,3,12,90,,Leg Extension,
2024-08-02,Legs 2,Single Leg RDL,1,10,35,,Single Leg Romanian Deadlift,
2024-08-02,Legs 2,Single Leg RDL,2,10,35,,Single Leg Romanian Deadlift,
2024-08-02,Legs 2,Smith machine squat,1,8,95,,Smith Machine Squat,
2024-08-02,Legs 2,Smith machine squat,2,8,95,,Smith Machine Squat,
2024-08-02,Legs 2,Smith machine squat,3,8,105,,Smith Machine Squat,
2024-08-09,Legs 2,DB Step-up,1,10,35,,Db Step-up,
2024-08-09,Legs 2,DB Step-up,2,10,35,,Db Step-up,
2024-08-09,Legs 2,DB Step-up,3,10,35,,Db Step-up,
2024-08-09,Legs 2,Dumbbell Split Squat,1,8,20,,Dumbbell Split Squat,
2024-08-09,Legs 2,Dumbbell Split Squat,2,8,20,,Dumbbell Split Squat,
2024-08-09,Legs 2,Dumbbell Split Squat,3,8,20,,Dumbbell Split Squat,
2024-08-09,Legs 2,Leg extension,1,12,90,,Leg Extension,
2024-08-09,Legs 2,Leg extension,2,12,100,,Leg Extension,
2024-08-09,Legs 2,Leg extension,3,12,100,,Leg Extension,
2024-08-09,Legs 2,Single Leg RDL,1,10,35,,Single Leg Romanian Deadlift,
2024-08-09,Legs 2,Single Leg RDL,2,10,35,,Single Leg Romanian Deadlift,
2024-08-09,Legs 2,Smith machine squat,1,8,95,,Smith Machine Squat,
2024-08-09,Legs 2,Smith machine squat,2,8,95,,Smith Machine Squat,
2024-08-09,Legs 2,Smith machine squat,3,8,105,,Smith Machine Squat,
2024-08-16,Legs 2,DB Step-up,1,10,35,,Db Step-up,
2024-08-16,Legs 2,DB Step-up,2,10,35,,Db Step-up,
2024-08-16,Legs 2,DB Step-up,3,10,35,,Db Step-up,
2024-08-16,Legs 2,Dumbbell Split Squat,1,8,20,,Dumbbell Split Squat,
2024-08-16,Legs 2,Dumbbell Split Squat,2,8,20,,Dumbbell Split Squat,
2024-08-16,Legs 2,Dumbbell Split Squat,3,8,20,,Dumbbell Split Squat,
2024-08-16,Legs 2,Leg extension,1,12,90,,Leg Extension,
2024-08-16,Legs 2,Leg extension,2,12,100,,Leg Extension,
2024-08-16,Legs 2,Leg extension,3,12,110,,Leg Extension,
2024-08-16,Legs 2,Single Leg RDL,1,10,35,,Single Leg Romanian Deadlift,
2024-08-16,Legs 2,Single Leg RDL,2,10,35,,Single Leg Romanian Deadlift,
2024-08-16,Legs 2,Smith machine squat,1,8,95,,Smith Machine Squat,
2024-08-16,Legs 2,Smith machine squat,2,8,95,,Smith Machine Squat,
2024-08-23,Legs 2,DB Step-up,1,10,35,,Db Step-up,
2024-08-23,Legs 2,DB Step-up,2,10,35,,Db Step-up,
2024-08-23,Legs 2,DB Step-up,3,10,35,,Db Step-up,
2024-08-23,Legs 2,Dumbbell Split Squat,1,8,20,,Dumbbell Split Squat,
2024-08-23,Legs 2,Dumbbell Split Squat,2,8,20,,Dumbbell Split Squat,
2024-08-23,Legs 2,Dumbbell Split Squat,3,8,20,,Dumbbell Split Squat,
2024-08-23,Legs 2,Dumbbell Split Squat,4,8,20,,Dumbbell Split Squat,
2024-08-23,Legs 2,Leg extension,1,12,90,,Leg Extension,
2024-08-23,Legs 2,Leg extension,2,12,115,,Leg Extension,
2024-08-23,Legs 2,Leg extension,3,12,115,,Leg Extension,
2024-08-23,Legs 2,Single Leg RDL,1,10,35,,Single Leg Romanian Deadlift,
2024-08-23,Legs 2,Single Leg RDL,2,10,35,,Single Leg Romanian Deadlift,
2024-08-23,Legs 2,Smith machine squat,1,8,95,,Smith Machine Squat,
2024-08-23,Legs 2,Smith machine squat,2,8,95,,Smith Machine Squat,
2024-08-23,Legs 2,Smith machine squat,3,8,105,,Smith Machine Squat,
2024-08-30,Legs 2,DB Step-up,1,10,35,,Db Step-up,
2024-08-30,Legs 2,DB Step-up,2,10,35,,Db Step-up,
2024-08-30,Legs 2,DB Step-up,3,10,40,,Db Step-up,
2024-08-30,Legs 2,Dumbbell Split Squat,1,8,20,,Dumbbell Split Squat,
